archetype,n_players,alpha,r2,nonzero_coefs,accel_rating,agility_rating,awareness_rating,bcv_rating,block_shed_rating,break_sack_rating,break_tackle_rating,carry_rating,catch_rating,change_of_direction_rating,cit_rating,finesse_moves_rating,hit_power_rating,impact_block_rating,injury_rating,juke_move_rating,jump_rating,kick_acc_rating,kick_power_rating,kick_ret_rating,lead_block_rating,man_cover_rating,pass_block_finesse_rating,pass_block_power_rating,pass_block_rating,play_action_rating,play_rec_rating,power_moves_rating,press_rating,pursuit_rating,release_rating,route_run_deep_rating,route_run_med_rating,route_run_short_rating,run_block_finesse_rating,run_block_power_rating,run_block_rating,spec_catch_rating,speed_rating,spin_move_rating,stamina_rating,stiff_arm_rating,strength_rating,tackle_rating,throw_acc_deep_rating,throw_acc_mid_rating,throw_acc_short_rating,throw_on_run_rating,throw_power_rating,throw_under_pressure_rating,tough_rating,truck_rating,zone_cover_rating
Hybrid - S,70,0.016926,0.998495,24,0.602323,0.503059,2.184187,0.005909,-0.0,0.011651,-0.0,0.0,0.037902,0.209542,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.279638,-0.006953,-0.01108,-0.0,0.006198,1.248436,-0.0,-0.0,-0.0,-0.0,0.669924,-0.036796,0.319116,0.294397,0.048602,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.485106,0.0,-0.0,-0.0,0.136014,1.107957,-0.019983,-0.0,-0.0,0.0,-0.0,-0.0,0.004909,-0.027064,0.509248
Improviser - QB,10,0.021521,0.999989,9,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.648389,-0.057898,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.000782,0.0,0.030166,0.0,0.0,0.0,1.030518,4.469197,1.089059,2.544344,0.677265,0.0,0.0
Manto Man - CB,128,0.011128,0.998545,31,0.706281,0.284656,1.936641,0.012991,-0.005315,-0.011518,-0.0,-0.0,0.137137,0.433199,0.037695,0.038492,0.015291,-0.029976,-0.029123,0.006514,0.16772,-0.0,-0.0,0.0,-0.047489,2.596768,-0.150112,-0.0,0.0,0.0,1.138864,-0.013853,0.883006,0.051568,0.0,-0.0,-0.028471,-0.0,0.085271,0.0,-0.0,0.0,0.815105,-0.0,0.050792,-0.046383,-0.0,0.51423,0.0,0.077075,0.0,0.0,-0.0,-0.0,0.043423,-0.0,0.281113
Pass Coverage - MLB,13,0.106437,0.998557,9,0.042689,0.094499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59526,0.0,0.0,0.36018,-0.0,-0.0,0.0,-0.0,-0.0,-0.343076,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.807379,0.0,0.0,2.587445,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.340034,0.0,2.06202
Pass Coverage - OLB,32,0.01222,0.999749,22,0.486958,0.369955,3.617899,0.0,0.300278,-0.0,0.0045,0.0,0.0,0.174514,-0.0,0.025878,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.132762,0.10504,0.0,0.409302,-0.0,-0.0,-0.0,-0.0,0.2193,-0.0,0.022829,0.919664,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.441004,-0.0,0.179396,0.011262,0.059113,1.193244,-0.0,-0.0,-0.0,-0.0,-0.093252,0.0,-0.01655,-0.031269,1.575522
Pass Protector - G,7,0.024756,0.999981,6,0.0,0.0,0.088166,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,2.099919,0.0,5.250118,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.293205,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.417976,0.0,0.173535,0.0
Pass Protector - OT,30,0.077143,0.997597,14,0.0,0.391218,0.963152,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.12502,0.327117,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.000109,0.0,2.038432,1.861466,2.142195,-0.0,-0.0,-0.0,-0.059276,-0.0,0.0,0.0,0.0,0.0,0.323951,0.279627,0.070741,0.0,0.180656,-0.0,0.17272,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0
Possession - TE,66,0.012556,0.999148,33,0.253606,0.375157,2.068235,0.120116,0.0,-0.0,0.262653,-0.0,1.096262,0.038929,1.138237,0.04163,0.0,0.207132,-0.0,0.0,0.068326,-0.013739,-0.0,0.0,0.280953,-0.010294,0.051883,0.111255,0.139124,-0.049177,-0.0,0.0,0.0,-0.0,0.154508,0.294513,0.631912,1.18517,0.316909,0.24015,0.465029,0.009343,0.113507,0.009039,0.027937,0.317104,0.153336,-0.0,0.0,0.0,0.030879,0.0,0.035748,-0.0,-0.0,0.0,-0.0
Power - C,39,0.027507,0.998183,28,0.149162,0.118059,2.323223,-0.0,0.0,0.041128,-0.0,-0.183552,-0.025505,0.142254,0.0,-0.047232,0.169139,0.700237,-0.225161,0.0,0.0,-0.147523,0.045986,-0.0,-0.0,0.118797,1.483179,2.260194,0.0,0.0,0.0,-0.0,-0.196576,0.0,0.0,-0.0,0.0,-0.009971,0.0,0.726163,1.175552,0.032614,0.033637,0.115651,0.346548,-0.0,0.657214,-0.0,0.0,0.0,0.0,0.0,0.159444,0.0,0.174512,-0.072914,0.0
Power - G,113,0.02157,0.998818,20,0.159184,0.224587,1.754591,0.00191,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.496432,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.764861,0.006921,0.098125,1.953013,0.109178,0.0,0.004457,-0.0,0.002694,0.0,0.0,0.0,-0.0,-0.0,0.0,1.875977,1.070083,0.048885,0.10128,0.0,0.0,0.0,0.844385,-0.0,-0.0,0.0,0.0,0.0,0.000743,-0.005181,0.015876,-0.0,0.0
